,,File-Name,Image URL,,,,,,,,,,,,,,,,,
41,Ladies,Daily-Selena-Cap-Dress-Sangria,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3560/13135/Selena-Cap-S-Dress-DSP-01710_1080__58965.1578509920.jpg?c=2,,,,,,,,,,,,,,,,,
42,Ladies,Daily-Kacie-Mesh-Polo-Floral-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3678/13630/Kacie-Mesh-Cap-S-polo-shirt-DSP-01512_1080__62236.1580759045.jpg?c=2,,,,,,,,,,,,,,,,Galvin-Green-Malone-Polo-Navy,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MALONE/G797833/aG797833.gif
43,Ladies,Daily-Kacie-Mesh-Polo-Floral-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3678/13630/Kacie-Mesh-Cap-S-polo-shirt-DSP-01512_1080__62236.1580759045.jpg?c=2,,,,,,,,,,,,,,,,,
44,Ladies,Daily-Leonie-Polo-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3699/13692/Leonie-SS-Polo-shirt-DSP-01612_1080__03959.1580916852.jpg?c=2,,,,,,,,,,,,,,,,Galvin-Green-Malone-Polo-Black,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MALONE/G797877/aG797877.gif
45,Ladies,Daily-Leonie-Polo-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/500x500/products/3699/13692/Leonie-SS-Polo-shirt-DSP-01612_1080__03959.1580916852.jpg?c=2,,,,,,,,,,,,,,,,,
46,Ladies,Daily-Visor-Spot-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3488/12894/Leonie-Visor-DSP-01739_1080__99972.1577487344.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
47,Ladies,Daily-Visor-Floral-Print,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3492/12911/Kacie-Visor-DSP-01815_1080__22168.1577488662.jpg?c=2,,,,,,,,,,,,,,,,Galvin-Green-Mick-Polo-Barberry-,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MICK/G797626/MICK_G797626.jpg
48,Ladies,Daily-Kenna-Jacket-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3526/13025/Kenna-Jacket-DSP-01899_1080__14733.1578078657.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
49,Ladies,Daily-Kenna-Jacket-Black,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3526/13025/Kenna-Jacket-DSP-01899_1080__14733.1578078657.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,,
50,Ladies,Daily-Miracle-Skort-Straw,https://cdn11.bigcommerce.com/s-fykcc646/images/stencil/800x800/products/3572/13194/Miracle-skort-40-cm-DSP-01828_1080__71188.1578513100.jpg?c=2&imbypass=on,,,,,,,,,,,,,,,,Galvin-Green-Mick-Polo-Navy,https://1484339459.rsc.cdn77.org/sites/default/files/pim/MICK/G797636/MICK_G797636.jpg
